date,ticker,open,high,low,close,volume
2018-01-02,ZBRA,104.0999984741211,105.13999938964844,102.75,103.70999908447266,310600
2018-01-03,ZBRA,103.7300033569336,106.25,103.4800033569336,105.7699966430664,253000
2018-01-04,ZBRA,106.16999816894531,108.11000061035156,105.83999633789062,107.86000061035156,435200
2018-01-05,ZBRA,108.05999755859375,109.94999694824219,108.01000213623047,109.54000091552734,301800
2018-01-08,ZBRA,109.7300033569336,111.4000015258789,109.56999969482422,110.62999725341797,218600
2018-01-09,ZBRA,111.33999633789062,114.44000244140625,111.33999633789062,114.0199966430664,355400
2018-01-10,ZBRA,113.45999908447266,114.98999786376953,113.18000030517578,114.77999877929688,403000
2018-01-11,ZBRA,114.94999694824219,121.29000091552734,114.29000091552734,121.16999816894531,493200
2018-01-12,ZBRA,121.0,123.66000366210938,119.8499984741211,123.1500015258789,420800
2018-01-16,ZBRA,123.16000366210938,124.62000274658203,123.02999877929688,123.37999725341797,402100
2018-01-17,ZBRA,123.52999877929688,124.37999725341797,123.20999908447266,123.77999877929688,444900
2018-01-18,ZBRA,124.20999908447266,124.80000305175781,123.04000091552734,123.2300033569336,387200
2018-01-19,ZBRA,123.62000274658203,124.44999694824219,122.19000244140625,123.75,310400
2018-01-22,ZBRA,123.2699966430664,124.3499984741211,122.05000305175781,124.29000091552734,186700
2018-01-23,ZBRA,124.29000091552734,126.27999877929688,122.94999694824219,125.68000030517578,392800
2018-01-24,ZBRA,125.69000244140625,126.48999786376953,123.1500015258789,123.3499984741211,448700
2018-01-25,ZBRA,123.8499984741211,124.73999786376953,122.27999877929688,123.5,246200
2018-01-26,ZBRA,123.87999725341797,124.58000183105469,122.79000091552734,123.4800033569336,405100
2018-01-29,ZBRA,123.7699966430664,125.33999633789062,122.0999984741211,124.61000061035156,234300
2018-01-30,ZBRA,124.19999694824219,124.69000244140625,122.94000244140625,124.12999725341797,244800
2018-01-31,ZBRA,125.55000305175781,125.94999694824219,122.83000183105469,123.16000366210938,214800
2018-02-01,ZBRA,122.55000305175781,123.25,120.75,121.5,262100
2018-02-02,ZBRA,121.93000030517578,122.77999877929688,120.13999938964844,120.7300033569336,287500
2018-02-05,ZBRA,119.27999877929688,121.83999633789062,117.0199966430664,117.0199966430664,373700
2018-02-06,ZBRA,115.5199966430664,117.45999908447266,113.33000183105469,116.51000213623047,283600
2018-02-07,ZBRA,116.18000030517578,117.12999725341797,115.33000183105469,116.43000030517578,240400
2018-02-08,ZBRA,116.9000015258789,117.93000030517578,113.5199966430664,113.54000091552734,253100
2018-02-09,ZBRA,114.80000305175781,115.66000366210938,110.4800033569336,114.91999816894531,410100
2018-02-12,ZBRA,115.36000061035156,116.98999786376953,114.56999969482422,116.01000213623047,253600
2018-02-13,ZBRA,115.69999694824219,116.94000244140625,115.37999725341797,116.70999908447266,199200
2018-02-14,ZBRA,116.2699966430664,118.93000030517578,116.0,118.80000305175781,299500
2018-02-15,ZBRA,119.66000366210938,120.62000274658203,118.25,120.54000091552734,287800
2018-02-16,ZBRA,120.13999938964844,121.01000213623047,119.6500015258789,120.25,223900
2018-02-20,ZBRA,119.91000366210938,121.51000213623047,119.3499984741211,120.06999969482422,537500
2018-02-21,ZBRA,120.31999969482422,122.06999969482422,120.08999633789062,120.3499984741211,645800
2018-02-22,ZBRA,129.0,137.55999755859375,127.51000213623047,135.24000549316406,1421300
2018-02-23,ZBRA,137.0,142.64999389648438,136.82000732421875,141.89999389648438,797800
2018-02-26,ZBRA,142.24000549316406,144.52999877929688,140.25,140.99000549316406,771800
2018-02-27,ZBRA,142.19000244140625,143.52000427246094,140.32000732421875,140.3699951171875,516500
2018-02-28,ZBRA,140.39999389648438,141.75999450683594,137.8000030517578,138.13999938964844,315200
2018-03-01,ZBRA,138.66000366210938,141.8300018310547,136.22999572753906,140.67999267578125,375600
2018-03-02,ZBRA,139.3000030517578,140.0,135.16000366210938,135.4499969482422,398100
2018-03-05,ZBRA,135.27000427246094,141.41000366210938,132.64999389648438,141.02000427246094,546300
2018-03-06,ZBRA,141.55999755859375,143.41000366210938,141.4499969482422,143.22000122070312,384500
2018-03-07,ZBRA,141.86000061035156,145.5500030517578,141.02000427246094,143.97999572753906,381000
2018-03-08,ZBRA,144.82000732421875,144.97999572753906,141.27000427246094,141.39999389648438,253800
2018-03-09,ZBRA,141.52999877929688,143.9199981689453,139.9499969482422,141.17999267578125,611500
2018-03-12,ZBRA,142.75,145.17999267578125,142.75,144.75,365000
2018-03-13,ZBRA,142.75,145.17999267578125,142.75,144.1999969482422,803600
2018-03-14,ZBRA,144.77999877929688,147.88999938964844,144.3699951171875,146.7899932861328,460500
2018-03-15,ZBRA,147.32000732421875,147.99000549316406,144.1199951171875,144.39999389648438,331800
2018-03-16,ZBRA,144.27999877929688,145.10000610351562,143.33999633789062,143.33999633789062,532900
2018-03-19,ZBRA,142.8000030517578,142.9499969482422,139.25,139.88999938964844,353400
2018-03-20,ZBRA,139.89999389648438,142.55999755859375,139.8800048828125,142.33999633789062,275700
2018-03-21,ZBRA,142.69000244140625,144.64999389648438,142.64999389648438,143.4600067138672,286600
2018-03-22,ZBRA,141.9600067138672,142.60000610351562,138.1199951171875,138.2899932861328,397900
2018-03-23,ZBRA,138.69000244140625,140.6699981689453,136.22000122070312,136.35000610351562,308200
2018-03-26,ZBRA,140.22000122070312,142.25999450683594,138.0500030517578,140.39999389648438,516400
2018-03-27,ZBRA,140.6300048828125,140.6300048828125,134.82000732421875,135.4600067138672,384200
2018-03-28,ZBRA,135.02000427246094,137.14999389648438,132.94000244140625,135.9499969482422,363100
2018-03-29,ZBRA,137.05999755859375,140.0,136.63999938964844,139.19000244140625,224200
2018-04-02,ZBRA,137.86000061035156,139.97999572753906,135.02000427246094,137.39999389648438,430400
2018-04-03,ZBRA,138.35000610351562,140.94000244140625,134.4600067138672,139.80999755859375,622700
2018-04-04,ZBRA,138.19000244140625,140.27999877929688,136.75,139.47999572753906,587000
2018-04-05,ZBRA,140.0800018310547,140.3300018310547,138.52999877929688,139.17999267578125,303400
2018-04-06,ZBRA,138.5,139.86000061035156,134.5,135.44000244140625,342100
2018-04-09,ZBRA,136.33999633789062,138.7100067138672,135.9499969482422,136.14999389648438,216400
2018-04-10,ZBRA,138.1999969482422,142.77000427246094,137.9199981689453,141.58999633789062,340200
2018-04-11,ZBRA,140.47000122070312,142.0399932861328,138.75,141.25,223000
2018-04-12,ZBRA,141.85000610351562,143.39999389648438,141.27000427246094,141.3000030517578,331900
